,Gflops,Execution time (s),iteration ordre
HC,"[59.73, 61.74, 67.28, 67.57, 76.68, 75.07, 74.44, 86.25, 75.53, 83.01]","[0.5142090320587158, 0.7203454971313477, 1.3048417568206787, 2.464691162109375, 4.733402729034424, 9.888303756713867, 7.254647493362427, 24.34043788909912, 12.444650173187256, 30.70051598548889]","[1, 2, 5, 10, 20, 40, 80, 160, 320, 500]"
PHC,"[58.94, 75.36, 71.78, 72.29, 82.05, 88.52, 83.18, 80.54, 74.61, 78.71]","[1.4968748092651367, 1.632655382156372, 2.280855178833008, 3.2015209197998047, 5.460588455200195, 9.515385150909424, 25.3811616897583, 13.58561635017395, 16.59437918663025, 23.48990774154663]","[1, 2, 5, 10, 20, 40, 80, 160, 320, 500]"
GR,"[71.11, 75.47, 87.81, 76.16, 77.04, 97.0, 91.27, 92.27, 76.02, 100.13]","[8.130379676818848, 14.406867980957031, 31.84595251083374, 15.253503322601318, 20.42690658569336, 31.09991765022278, 20.948331594467163, 36.475000619888306, 22.799331426620483, 62.653438329696655]","[1, 2, 5, 10, 20, 40, 80, 160, 320, 500]"
TGR,"[67.66, 74.65, 87.46, 75.73, 80.27, 78.23, 78.65, 85.82, 75.57, 80.35]","[8.4888334274292, 14.501765727996826, 36.3105263710022, 14.826495885848999, 29.665255308151245, 15.29599118232727, 15.003242492675781, 48.42805528640747, 14.943586349487305, 18.954265117645264]","[1, 2, 5, 10, 20, 40, 80, 160, 320, 500]"
SA,"[64.33, 70.28, 77.99, 65.36, 66.11, 63.04, 69.83, 73.2, 72.67, 79.46]","[0.4057140350341797, 0.6151449680328369, 1.478471279144287, 2.4866840839385986, 5.235419034957886, 7.141831874847412, 17.226807117462158, 39.38687562942505, 49.02351379394531, 39.67870354652405]","[1, 2, 5, 10, 20, 40, 80, 160, 320, 500]"
