,Gflops,Execution time (s)
HC,"dict_values([24.55, 26.44, 25.95, 0, 0])","dict_values([40.19922995567322, 57.80406045913696, 116.43813753128052, 0, 0])"
PHC,"dict_values([24.55, 26.44, 25.95, 0, 0])","dict_values([40.19922995567322, 57.80406045913696, 116.43813753128052, 0, 0])"
GR,"dict_values([24.55, 26.44, 25.95, 0, 0])","dict_values([40.19922995567322, 57.80406045913696, 116.43813753128052, 0, 0])"
TGR,"dict_values([24.55, 26.44, 25.95, 0, 0])","dict_values([40.19922995567322, 57.80406045913696, 116.43813753128052, 0, 0])"
SA,"dict_values([24.55, 26.44, 25.95, 0, 0])","dict_values([40.19922995567322, 57.80406045913696, 116.43813753128052, 0, 0])"
